,id,x,y,b,p,sec,milli
0,197,1661,1364,3,0,0,89
1,198,1661,1364,3,0,0,97
2,199,1661,1364,3,0,0,104
3,200,1661,1364,3,0,0,110
4,201,1661,1364,3,0,0,117
5,202,1661,1364,3,0,0,126
6,203,1661,1364,3,0,0,135
7,204,1661,1364,3,0,0,140
8,205,1698,1338,3,0,0,148
9,206,1698,1338,3,0,0,156
10,207,1737,1315,3,0,0,161
11,208,1775,1289,3,0,0,167
12,209,1813,1265,3,0,0,174
13,210,1846,1243,3,0,0,179
14,211,1882,1219,3,0,0,185
15,212,1915,1197,3,0,0,191
16,213,1943,1178,3,0,0,197
17,214,1969,1161,3,0,0,203
18,215,1990,1145,3,0,0,210
19,216,2008,1131,3,0,0,216
20,217,2024,1118,3,0,0,224
21,218,2039,1106,3,0,0,257
22,219,2051,1095,3,0,0,277
23,220,2061,1083,3,0,0,287
24,221,2070,1073,3,0,0,298
25,222,2078,1063,3,0,0,334
26,223,2086,1053,3,0,0,340
27,224,2086,1053,3,0,0,349
28,225,2086,1053,3,0,0,359
29,226,2093,1042,3,0,0,371
30,227,2093,1042,3,0,0,387
31,228,2102,1032,3,0,0,403
32,229,2110,1023,3,0,0,417
33,230,2118,1011,7,18,0,426
34,231,2125,1001,7,18,0,473
35,232,2131,993,7,19,0,477
36,233,2137,987,7,18,0,483
37,234,2137,987,7,18,0,496
38,235,2144,982,7,18,0,504
39,236,2152,979,7,18,0,511
40,237,2161,980,7,18,0,522
41,238,2170,983,7,17,0,528
42,239,2181,989,7,17,0,535
43,240,2192,1000,7,17,0,541
44,241,2203,1012,7,17,0,549
45,242,2214,1026,7,18,0,554
46,243,2227,1040,7,20,0,562
47,244,2239,1056,7,21,0,568
48,245,2250,1072,7,21,0,573
49,246,2259,1089,7,22,0,580
50,247,2268,1106,7,23,0,624
51,248,2273,1123,7,23,0,651
52,249,2275,1139,7,22,0,683
53,254,2220,1215,7,18,0,687
54,255,2199,1225,7,18,0,693
55,0,2176,1234,7,18,0,698
56,1,2151,1244,7,19,0,708
57,2,2123,1254,7,19,0,715
58,3,2094,1266,7,20,0,725
59,4,2064,1279,7,21,0,730
60,5,2032,1297,7,21,0,736
61,6,2001,1318,7,21,0,742
62,7,1969,1344,7,20,0,750
63,8,1937,1376,7,18,0,759
64,9,1906,1409,7,18,0,767
65,10,1876,1444,7,18,0,772
66,11,1849,1479,7,18,0,777
67,12,1825,1514,7,18,0,783
68,13,1803,1548,7,18,0,790
69,14,1784,1582,7,17,0,795
70,15,1767,1616,7,15,0,801
71,16,1751,1650,7,14,0,808
72,17,1735,1686,7,15,0,815
73,18,1719,1723,7,15,0,821
74,19,1707,1758,7,15,0,826
75,20,1696,1790,7,15,0,834
76,21,1687,1819,7,15,0,841
77,22,1682,1845,7,14,0,850
78,23,1679,1867,7,14,0,856
79,24,1681,1887,7,13,0,862
80,25,1685,1901,7,12,0,870
81,26,1691,1911,7,12,0,876
82,27,1701,1917,7,12,0,883
83,28,1715,1918,7,13,0,887
84,29,1733,1913,7,13,0,894
85,30,1754,1901,7,14,0,901
86,31,1779,1883,7,14,0,905
87,32,1808,1857,7,13,0,913
88,33,1846,1821,7,13,0,920
89,34,1888,1780,7,14,0,925
90,35,1935,1735,7,15,0,934
91,36,1985,1691,7,14,0,939
92,37,2038,1651,7,15,0,948
93,38,2095,1611,7,16,0,953
94,39,2152,1575,7,17,0,960
95,40,2207,1545,7,18,0,963
96,41,2260,1520,7,19,0,968
97,42,2310,1498,7,20,0,973
98,43,2358,1483,7,21,0,980
99,44,2403,1472,7,21,0,984
100,45,2444,1465,7,21,0,990
101,46,2481,1461,7,20,0,997
102,47,2513,1462,7,20,1,3
103,48,2541,1466,7,19,1,8
104,49,2564,1474,7,18,1,14
105,50,2582,1488,7,18,1,18
106,51,2594,1506,7,19,1,24
107,52,2599,1528,7,19,1,30
108,53,2598,1555,7,19,1,36
109,54,2591,1584,7,18,1,41
110,55,2578,1615,7,17,1,48
111,56,2563,1647,7,16,1,56
112,57,2544,1680,7,16,1,61
113,58,2524,1710,7,17,1,66
114,59,2502,1738,7,17,1,72
115,60,2477,1763,7,17,1,79
116,61,2450,1786,7,18,1,85
117,62,2421,1804,7,19,1,90
118,63,2391,1819,7,19,1,95
