,id,x,y,b,p,sec,milli
0,176,2568,1514,3,0,0,860
1,177,2568,1514,3,0,0,870
2,178,2568,1514,3,0,0,880
3,179,2568,1514,3,0,0,880
4,180,2568,1514,3,0,0,890
5,181,2568,1514,3,0,0,900
6,182,2568,1514,3,0,0,900
7,183,2568,1514,3,0,0,910
8,184,2568,1514,3,0,0,920
9,185,2568,1514,3,0,0,920
10,186,2568,1514,3,0,0,930
11,187,2568,1514,3,0,0,930
12,188,2568,1514,3,0,0,940
13,189,2568,1514,3,0,0,950
14,190,2568,1514,3,0,0,950
15,191,2568,1514,3,0,0,960
16,192,2553,1526,3,0,0,970
17,193,2541,1540,3,0,0,970
18,194,2541,1540,3,0,0,980
19,195,2529,1556,3,0,0,990
20,196,2529,1556,3,0,0,990
21,197,2519,1574,3,0,1,0
22,198,2508,1591,3,0,1,10
23,199,2499,1604,3,0,1,10
24,200,2494,1616,3,0,1,20
25,201,2488,1628,3,0,1,30
26,202,2488,1628,3,0,1,30
27,203,2488,1628,3,0,1,40
28,204,2488,1628,3,0,1,50
29,205,2487,1641,3,0,1,50
30,206,2487,1641,3,0,1,60
31,207,2490,1655,3,0,1,70
32,208,2493,1671,3,0,1,70
33,209,2501,1681,7,8,1,100
34,210,2507,1689,7,8,1,100
35,211,2514,1695,7,8,1,110
36,212,2523,1699,7,8,1,120
37,213,2534,1702,7,8,1,130
38,214,2548,1703,7,8,1,130
39,215,2565,1702,7,8,1,140
40,216,2585,1700,7,9,1,140
41,217,2611,1695,7,9,1,150
42,218,2643,1687,7,9,1,160
43,219,2683,1677,7,9,1,160
44,220,2726,1666,7,10,1,170
45,221,2774,1652,7,11,1,170
46,222,2827,1635,7,11,1,180
47,223,2883,1615,7,10,1,190
48,224,2942,1592,7,11,1,190
49,225,3002,1567,7,11,1,200
50,226,3065,1540,7,11,1,210
51,227,3129,1513,7,12,1,220
52,228,3193,1489,7,13,1,220
53,229,3257,1465,7,13,1,230
54,230,3321,1441,7,13,1,240
55,231,3382,1417,7,13,1,240
56,232,3441,1395,7,13,1,250
57,233,3499,1371,7,14,1,250
58,234,3554,1349,7,15,1,260
59,235,3606,1330,7,15,1,270
60,236,3655,1309,7,14,1,270
61,237,3699,1290,7,14,1,280
62,238,3739,1271,7,13,1,290
63,239,3774,1257,7,11,1,290
64,240,3802,1245,7,10,1,300
65,241,3823,1236,7,7,1,310
66,242,3837,1228,3,0,1,310
67,243,3843,1223,3,0,1,320
68,244,3843,1223,3,0,1,330
69,245,3833,1223,3,0,1,330
70,246,3817,1225,3,0,1,340
71,247,3795,1227,3,0,1,350
72,248,3769,1230,3,0,1,350
73,249,3739,1232,3,0,1,360
74,250,3707,1234,3,0,1,370
75,251,3671,1233,3,0,1,370
76,252,3635,1235,3,0,1,380
77,253,3595,1232,3,0,1,390
78,254,3557,1233,3,0,1,390
79,255,3520,1231,3,0,1,400
80,0,3485,1228,3,0,1,410
81,1,3454,1223,3,0,1,410
82,2,3428,1216,3,0,1,420
83,3,3397,1198,7,14,1,440
84,4,3372,1183,7,14,1,450
85,5,3352,1171,7,14,1,450
86,6,3336,1162,7,14,1,460
87,7,3323,1154,7,14,1,470
88,8,3314,1150,7,14,1,470
89,9,3314,1150,7,13,1,480
90,10,3314,1150,7,13,1,490
91,11,3314,1150,7,12,1,490
92,12,3315,1163,7,12,1,500
93,13,3317,1182,7,12,1,510
94,14,3322,1207,7,13,1,510
95,15,3329,1238,7,13,1,520
96,16,3337,1275,7,13,1,530
97,17,3346,1320,7,14,1,530
98,18,3355,1371,7,15,1,540
99,19,3363,1430,7,15,1,550
100,20,3372,1493,7,15,1,560
101,21,3380,1559,7,15,1,560
102,22,3387,1626,7,15,1,570
103,23,3393,1690,7,15,1,570
104,24,3399,1753,7,15,1,580
105,25,3404,1814,7,16,1,590
106,26,3410,1872,7,17,1,590
107,27,3414,1925,7,17,1,600
108,28,3419,1974,7,17,1,610
109,29,3423,2019,7,17,1,610
110,30,3426,2059,7,17,1,620
111,31,3428,2091,7,17,1,630
112,32,3429,2118,7,16,1,630
113,33,3430,2139,7,16,1,640
114,34,3430,2157,7,16,1,650
115,35,3430,2171,7,15,1,650
116,36,3428,2180,7,14,1,660
117,37,3428,2180,7,14,1,670
118,38,3428,2180,7,13,1,670
119,39,3423,2173,7,12,1,680
120,40,3418,2160,7,12,1,690
121,41,3414,2143,7,12,1,690
122,42,3410,2122,7,12,1,700
123,43,3406,2098,7,12,1,710
124,44,3402,2072,7,12,1,710
125,45,3399,2045,7,12,1,720
126,46,3397,2018,7,12,1,730
127,47,3395,1992,7,12,1,730
128,48,3392,1968,7,12,1,740
129,49,3390,1945,7,13,1,750
130,50,3387,1924,7,13,1,750
131,51,3383,1906,7,13,1,760
132,52,3379,1890,7,13,1,770
133,53,3374,1877,7,13,1,770
134,54,3367,1870,7,13,1,780
135,55,3357,1868,7,13,1,790
136,56,3343,1875,7,13,1,790
137,57,3324,1889,7,14,1,800
138,58,3300,1913,7,14,1,800
139,59,3270,1944,7,15,1,810
140,60,3237,1980,7,15,1,820
141,61,3200,2020,7,15,1,820
142,62,3161,2063,7,15,1,830
143,63,3122,2107,7,16,1,840
144,64,3083,2151,7,17,1,840
