,id,x,y,b,p,sec,milli
0,84,3535,2300,3,0,0,38
1,85,3535,2300,3,0,0,48
2,86,3535,2300,3,0,0,58
3,87,3535,2300,3,0,0,58
4,88,3535,2300,3,0,0,68
5,89,3535,2300,3,0,0,78
6,90,3535,2300,3,0,0,88
7,91,3535,2300,3,0,0,88
8,92,3535,2300,3,0,0,98
9,93,3535,2300,3,0,0,98
10,94,3535,2300,3,0,0,108
11,95,3535,2300,3,0,0,118
12,96,3535,2300,3,0,0,118
13,97,3535,2300,3,0,0,128
14,98,3535,2300,3,0,0,128
15,99,3535,2300,3,0,0,138
16,100,3535,2300,3,0,0,148
17,101,3535,2300,3,0,0,148
18,102,3535,2300,3,0,0,158
19,103,3535,2300,3,0,0,168
20,104,3535,2300,3,0,0,178
21,105,3535,2300,3,0,0,178
22,106,3535,2300,3,0,0,188
23,107,3535,2300,3,0,0,188
24,108,3535,2300,3,0,0,198
25,109,3535,2300,3,0,0,208
26,110,3535,2300,3,0,0,208
27,111,3535,2300,3,0,0,218
28,112,3535,2300,3,0,0,228
29,113,3535,2300,3,0,0,228
30,114,3535,2300,3,0,0,238
31,115,3535,2300,3,0,0,248
32,116,3535,2300,3,0,0,248
33,117,3535,2300,3,0,0,258
34,118,3535,2300,3,0,0,268
35,119,3535,2300,3,0,0,268
36,120,3535,2300,3,0,0,278
37,121,3535,2300,3,0,0,288
38,122,3535,2300,3,0,0,288
39,123,3535,2300,3,0,0,298
40,124,3535,2300,3,0,0,308
41,125,3535,2300,3,0,0,308
42,126,3535,2300,3,0,0,318
43,127,3535,2300,3,0,0,328
44,128,3535,2300,3,0,0,328
45,129,3535,2300,3,0,0,338
46,130,3535,2300,3,0,0,348
47,131,3535,2300,3,0,0,348
48,132,3535,2300,0,0,0,358
49,133,2837,1920,3,0,3,878
50,134,2837,1920,3,0,3,888
51,135,2837,1920,3,0,3,888
52,136,2837,1920,3,0,3,898
53,137,2837,1920,3,0,3,908
54,138,2837,1920,3,0,3,908
55,139,2837,1920,3,0,3,918
56,140,2837,1920,3,0,3,928
57,141,2837,1920,3,0,3,928
58,142,2837,1920,3,0,3,938
59,143,2837,1920,3,0,3,938
60,144,2811,1915,3,0,3,948
